Links,Description,Price
https://www.rightmove.co.uk/properties/110941289#/?channel=RES_BUY,1 bedroom flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/121834574#/?channel=RES_BUY,2 bedroom flat for sale,"£100,000"
https://www.rightmove.co.uk/properties/121833908#/?channel=RES_BUY,2 bedroom apartment for sale,"£640,000"
https://www.rightmove.co.uk/properties/121833635#/?channel=RES_BUY,3 bedroom flat for sale,"£770,000"
https://www.rightmove.co.uk/properties/121832810#/?channel=RES_BUY,1 bedroom apartment for sale,"£380,000"
https://www.rightmove.co.uk/properties/121831724#/?channel=RES_BUY,3 bedroom terraced house for sale,"£775,000"
https://www.rightmove.co.uk/properties/121830686#/?channel=RES_BUY,1 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/116761052#/?channel=RES_BUY,Studio apartment for sale,"£300,000"
https://www.rightmove.co.uk/properties/120632930#/?channel=RES_BUY,2 bedroom apartment for sale,"£560,000"
https://www.rightmove.co.uk/properties/119502059#/?channel=RES_BUY,2 bedroom apartment for sale,"£350,000"
https://www.rightmove.co.uk/properties/121827302#/?channel=RES_BUY,1 bedroom apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/121822556#/?channel=RES_BUY,1 bedroom apartment for sale,"£435,000"
https://www.rightmove.co.uk/properties/121821779#/?channel=RES_BUY,1 bedroom apartment for sale,"£625,000"
https://www.rightmove.co.uk/properties/121821212#/?channel=RES_BUY,2 bedroom apartment for sale,"£700,000"
https://www.rightmove.co.uk/properties/121813559#/?channel=RES_BUY,Studio apartment for sale,"£400,000"
https://www.rightmove.co.uk/properties/121813562#/?channel=RES_BUY,3 bedroom apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/90435040#/?channel=RES_BUY,1 bedroom flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/121275197#/?channel=RES_BUY,2 bedroom flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/121809986#/?channel=RES_BUY,2 bedroom apartment for sale,"£495,000"
https://www.rightmove.co.uk/properties/121808129#/?channel=RES_BUY,3 bedroom flat for sale,"£450,000"
https://www.rightmove.co.uk/properties/121808027#/?channel=RES_BUY,2 bedroom flat for sale,"£600,000"
