Links,Description,Price
https://www.rightmove.co.uk/properties/112271615#/?channel=RES_BUY,1 bedroom flat for sale,"£595,000"
https://www.rightmove.co.uk/properties/121834652#/?channel=RES_BUY,4 bedroom house for sale,"£4,895,000"
https://www.rightmove.co.uk/properties/121834487#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,795,000"
https://www.rightmove.co.uk/properties/121834196#/?channel=RES_BUY,1 bedroom flat for sale,"£499,950"
https://www.rightmove.co.uk/properties/121833641#/?channel=RES_BUY,3 bedroom flat for sale,"£3,750,000"
https://www.rightmove.co.uk/properties/109774709#/?channel=RES_BUY,2 bedroom house for sale,"£1,795,000"
https://www.rightmove.co.uk/properties/121833194#/?channel=RES_BUY,1 bedroom apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/121833170#/?channel=RES_BUY,3 bedroom apartment for sale,"£2,775,000"
https://www.rightmove.co.uk/properties/121832894#/?channel=RES_BUY,2 bedroom apartment for sale,"£825,000"
https://www.rightmove.co.uk/properties/121831193#/?channel=RES_BUY,1 bedroom flat for sale,"£125,000"
https://www.rightmove.co.uk/properties/121831166#/?channel=RES_BUY,1 bedroom flat for sale,"£500,000"
https://www.rightmove.co.uk/properties/121831073#/?channel=RES_BUY,1 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/120614744#/?channel=RES_BUY,2 bedroom flat for sale,"£800,000"
https://www.rightmove.co.uk/properties/118713608#/?channel=RES_BUY,5 bedroom flat for sale,"£4,950,000"
https://www.rightmove.co.uk/properties/121825445#/?channel=RES_BUY,3 bedroom flat for sale,"£6,500,000"
https://www.rightmove.co.uk/properties/121826735#/?channel=RES_BUY,2 bedroom flat for sale,"£750,000"
https://www.rightmove.co.uk/properties/121825889#/?channel=RES_BUY,2 bedroom flat for sale,"£1,500,000"
https://www.rightmove.co.uk/properties/121826084#/?channel=RES_BUY,3 bedroom flat for sale,"£3,000,000"
https://www.rightmove.co.uk/properties/113291852#/?channel=RES_BUY,3 bedroom flat for sale,"£2,750,000"
https://www.rightmove.co.uk/properties/113291858#/?channel=RES_BUY,4 bedroom flat for sale,"£8,250,000"
https://www.rightmove.co.uk/properties/121752575#/?channel=RES_BUY,1 bedroom apartment for sale,"£200,000"
https://www.rightmove.co.uk/properties/121822544#/?channel=RES_BUY,1 bedroom flat for sale,"£876,000"
https://www.rightmove.co.uk/properties/121822478#/?channel=RES_BUY,1 bedroom flat for sale,"£788,400"
https://www.rightmove.co.uk/properties/121822451#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121822238#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/115914119#/?channel=RES_BUY,3 bedroom apartment for sale,"£6,250,000"
https://www.rightmove.co.uk/properties/121822283#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121822175#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121822106#/?channel=RES_BUY,1 bedroom flat for sale,"£876,000"
https://www.rightmove.co.uk/properties/121822073#/?channel=RES_BUY,1 bedroom flat for sale,"£788,400"
https://www.rightmove.co.uk/properties/119348879#/?channel=RES_BUY,1 bedroom flat for sale,"£570,000"
https://www.rightmove.co.uk/properties/121822031#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121821968#/?channel=RES_BUY,3 bedroom semi-detached house for sale,"£6,750,000"
https://www.rightmove.co.uk/properties/121821974#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121821953#/?channel=RES_BUY,1 bedroom flat for sale,"£788,400"
https://www.rightmove.co.uk/properties/121821935#/?channel=RES_BUY,1 bedroom flat for sale,"£876,000"
https://www.rightmove.co.uk/properties/121821830#/?channel=RES_BUY,1 bedroom flat for sale,"£788,400"
https://www.rightmove.co.uk/properties/121821674#/?channel=RES_BUY,1 bedroom flat for sale,"£700,800"
https://www.rightmove.co.uk/properties/121821422#/?channel=RES_BUY,6 bedroom detached house for sale,"£11,500,000"
https://www.rightmove.co.uk/properties/120004091#/?channel=RES_BUY,2 bedroom flat for sale,"£1,025,000"
https://www.rightmove.co.uk/properties/121821149#/?channel=RES_BUY,Semi-detached house for sale,"£6,750,000"
https://www.rightmove.co.uk/properties/121820867#/?channel=RES_BUY,2 bedroom apartment for sale,"£1,050,000"
https://www.rightmove.co.uk/properties/121813541#/?channel=RES_BUY,2 bedroom flat for sale,"£995,000"
https://www.rightmove.co.uk/properties/120883151#/?channel=RES_BUY,3 bedroom flat for sale,"£1,595,000"
https://www.rightmove.co.uk/properties/121813355#/?channel=RES_BUY,2 bedroom apartment for sale,"£825,000"
https://www.rightmove.co.uk/properties/121812506#/?channel=RES_BUY,4 bedroom flat for sale,POA
https://www.rightmove.co.uk/properties/121812419#/?channel=RES_BUY,3 bedroom flat for sale,"£5,011,000"
https://www.rightmove.co.uk/properties/121811444#/?channel=RES_BUY,3 bedroom mews house for sale,"£2,350,000"
